,location,total_sqft,bath,price,bhk
2330,Electronic City Phase II,1000.0,2.0,28.88,2
2331,Electronic City Phase II,1000.0,2.0,28.88,2
2332,Electronic City Phase II,1165.0,2.0,30.29,2
2333,Electronic City Phase II,3550.0,2.0,167.5,4
2334,Electronic City Phase II,1031.0,2.0,53.0,2
2336,Electronic City Phase II,1065.0,2.0,30.88,2
2338,Electronic City Phase II,1549.0,3.0,80.0,3
2339,Electronic City Phase II,1065.0,2.0,56.13,2
2341,Electronic City Phase II,920.0,2.0,26.0,2
2342,Electronic City Phase II,1140.0,2.0,33.84,2
2343,Electronic City Phase II,1219.0,2.0,61.26,2
2344,Electronic City Phase II,1252.0,2.0,65.0,3
2345,Electronic City Phase II,875.0,2.0,40.0,3
2346,Electronic City Phase II,1125.0,2.0,32.49,2
2348,Electronic City Phase II,1286.0,2.0,69.0,2
2350,Electronic City Phase II,1140.0,2.0,32.92,2
2351,Electronic City Phase II,1116.0,2.0,40.0,2
2352,Electronic City Phase II,1150.0,3.0,46.0,3
2353,Electronic City Phase II,1192.0,2.0,47.0,3
2355,Electronic City Phase II,1020.0,2.0,32.0,2
2356,Electronic City Phase II,1900.0,3.0,97.0,4
2357,Electronic City Phase II,1020.0,2.0,27.43,2
2358,Electronic City Phase II,1025.0,2.0,26.65,2
2359,Electronic City Phase II,545.0,1.0,29.0,2
2360,Electronic City Phase II,1020.0,2.0,29.45,2
2361,Electronic City Phase II,1000.0,2.0,28.88,2
2363,Electronic City Phase II,1140.0,2.0,28.5,2
2364,Electronic City Phase II,1125.0,2.0,32.49,2
2365,Electronic City Phase II,1200.0,2.0,34.65,2
2366,Electronic City Phase II,1160.0,2.0,52.2,2
2367,Electronic City Phase II,1244.0,2.0,55.0,2
2368,Electronic City Phase II,1160.0,2.0,33.51,2
2371,Electronic City Phase II,972.0,2.0,40.0,2
2372,Electronic City Phase II,1160.0,2.0,33.51,2
2374,Electronic City Phase II,1090.0,2.0,31.48,2
2375,Electronic City Phase II,1140.0,2.0,32.92,2
2376,Electronic City Phase II,650.0,1.0,35.0,1
2377,Electronic City Phase II,1155.0,2.0,57.0,2
2378,Electronic City Phase II,1800.0,3.0,92.0,3
2379,Electronic City Phase II,1300.0,2.0,28.0,2
2380,Electronic City Phase II,1940.0,4.0,116.0,3
2381,Electronic City Phase II,1160.0,2.0,33.5,2
2382,Electronic City Phase II,1025.0,2.0,29.6,2
2383,Electronic City Phase II,829.0,2.0,22.8,2
2384,Electronic City Phase II,2187.5,4.0,105.0,4
2385,Electronic City Phase II,1252.0,2.0,67.0,2
2387,Electronic City Phase II,1125.0,2.0,32.63,2
2388,Electronic City Phase II,1140.0,2.0,34.0,2
2391,Electronic City Phase II,1252.0,2.0,65.0,3
2392,Electronic City Phase II,1135.0,2.0,46.0,2
2393,Electronic City Phase II,1305.0,3.0,65.0,3
2394,Electronic City Phase II,1165.0,2.0,33.64,2
2396,Electronic City Phase II,1336.0,2.0,50.35,3
2397,Electronic City Phase II,575.0,1.0,16.75,1
2398,Electronic City Phase II,925.0,2.0,49.82,3
2399,Electronic City Phase II,1065.0,2.0,30.76,2
2400,Electronic City Phase II,1065.0,2.0,30.75,2
2401,Electronic City Phase II,1140.0,2.0,33.06,2
2402,Electronic City Phase II,911.0,2.0,26.5,2
2403,Electronic City Phase II,1200.0,2.0,34.65,2
2404,Electronic City Phase II,1031.0,2.0,54.48,2
2405,Electronic City Phase II,545.0,1.0,28.0,2
2409,Electronics City Phase 1,1475.0,3.0,78.29,3
2410,Electronics City Phase 1,1490.0,3.0,78.8,3
2411,Electronics City Phase 1,1113.27,2.0,53.0,2
2412,Electronics City Phase 1,1490.0,3.0,84.0,3
2414,Electronics City Phase 1,1160.0,2.0,52.0,2
2419,Electronics City Phase 1,1015.0,2.0,56.0,2
2421,Electronics City Phase 1,1515.0,2.0,80.91,3
2422,Electronics City Phase 1,995.0,2.0,46.0,2
2423,Electronics City Phase 1,1555.0,2.0,82.0,3
2424,Electronics City Phase 1,1340.0,2.0,75.0,2
2425,Electronics City Phase 1,650.0,1.0,23.0,1
2426,Electronics City Phase 1,1124.0,2.0,55.0,3
2427,Electronics City Phase 1,1175.0,2.0,57.0,2
2428,Electronics City Phase 1,755.0,1.0,42.41,1
2429,Electronics City Phase 1,580.0,1.0,27.0,1
2430,Electronics City Phase 1,940.0,2.0,49.0,2
2431,Electronics City Phase 1,1335.0,2.0,67.0,2
2432,Electronics City Phase 1,1175.0,2.0,69.0,2
2433,Electronics City Phase 1,1113.12,2.0,55.0,2
2435,Electronics City Phase 1,1350.0,3.0,71.0,3
2437,Electronics City Phase 1,995.0,2.0,49.8,2
2438,Electronics City Phase 1,635.0,1.0,26.0,1
2439,Electronics City Phase 1,1190.0,2.0,68.0,2
2441,Electronics City Phase 1,1450.0,3.0,72.54,3
2442,Electronics City Phase 1,360.0,1.0,16.9,1
2443,Electronics City Phase 1,638.0,1.0,32.0,1
2444,Electronics City Phase 1,1175.0,2.0,64.98,2
2445,Electronics City Phase 1,585.0,1.0,21.0,1
2446,Electronics City Phase 1,1200.0,2.0,59.76,2
2447,Electronics City Phase 1,1145.0,2.0,54.0,2
2448,Electronics City Phase 1,1125.0,2.0,65.0,2
2450,Electronics City Phase 1,1550.0,2.0,82.0,3
2452,Electronics City Phase 1,865.0,2.0,40.0,2
2456,Electronics City Phase 1,1800.0,3.0,93.0,3
2457,Electronics City Phase 1,1314.0,2.0,60.0,2
2458,Electronics City Phase 1,1170.0,2.0,62.0,2
2459,Electronics City Phase 1,1450.0,3.0,79.0,3
2460,Electronics City Phase 1,940.0,2.0,48.0,2
2461,Electronics City Phase 1,940.0,2.0,44.0,2
2462,Electronics City Phase 1,1300.0,2.0,67.0,2
2463,Electronics City Phase 1,1028.0,2.0,51.0,2
2465,Electronics City Phase 1,1205.0,2.0,60.0,2
2467,Electronics City Phase 1,1305.0,2.0,67.0,2
2468,Electronics City Phase 1,755.0,1.0,30.12,1
2469,Electronics City Phase 1,1175.0,2.0,60.0,2
2470,Frazer Town,1700.0,3.0,180.0,3
2471,Frazer Town,1305.0,3.0,95.45,3
2472,Frazer Town,1870.0,3.0,185.0,3
2473,Frazer Town,1750.0,3.0,150.0,3
2475,Frazer Town,2000.0,3.0,200.0,3
2476,Frazer Town,3500.0,4.0,330.0,3
2477,Frazer Town,2350.0,4.0,285.0,3
2478,Frazer Town,1550.0,2.0,140.0,2
2479,Frazer Town,1900.0,4.0,145.0,3
2480,Frazer Town,2560.0,3.0,265.0,3
2481,Frazer Town,2400.0,3.0,260.0,3
2482,Frazer Town,2560.0,3.0,288.0,3
2483,Frazer Town,3436.0,5.0,341.0,4
2485,Frazer Town,1315.0,2.0,140.0,2
2486,Frazer Town,1706.0,3.0,154.0,3
2487,Frazer Town,2079.0,3.0,220.0,3
2488,Frazer Town,3435.0,2.0,341.0,4
2489,Frazer Town,3436.0,5.0,345.0,4
2490,Frazer Town,3100.0,3.0,400.0,3
2491,Frazer Town,5400.0,3.0,400.0,3
2492,Frazer Town,1180.0,2.0,105.0,2
2493,Frazer Town,2900.0,4.0,325.0,4
2494,Frazer Town,1870.0,3.0,180.0,3
2495,Frazer Town,896.0,1.0,100.0,1
2496,Frazer Town,1420.0,2.0,120.0,2
2497,GM Palaya,1820.0,2.0,86.0,3
2498,GM Palaya,1225.0,2.0,47.0,2
2499,GM Palaya,1140.0,2.0,48.95,2
2500,GM Palaya,1315.0,2.0,65.0,3
2501,GM Palaya,1315.0,3.0,65.0,3
2502,GM Palaya,1315.0,3.0,64.0,3
2503,GM Palaya,1735.0,3.0,70.0,3
2504,GM Palaya,1643.0,2.0,70.0,3
2505,Garudachar Palya,1325.0,2.0,60.8,3
2506,Garudachar Palya,1060.0,2.0,48.7,2
2507,Garudachar Palya,1150.0,2.0,52.75,2
2508,Garudachar Palya,1295.0,2.0,59.5,3
2509,Garudachar Palya,1320.0,2.0,60.6,3
2510,Garudachar Palya,1295.0,2.0,59.5,3
2511,Garudachar Palya,1150.0,2.0,52.8,2
2512,Garudachar Palya,1150.0,2.0,52.8,2
2513,Garudachar Palya,1060.0,2.0,48.5,2
2514,Garudachar Palya,1150.0,2.0,52.5,2
2515,Garudachar Palya,1325.0,2.0,60.8,3
2516,Garudachar Palya,1060.0,2.0,48.66,2
2517,Garudachar Palya,1150.0,2.0,52.0,2
2518,Garudachar Palya,1154.0,2.0,51.8,2
2520,Giri Nagar,880.0,3.0,140.0,3
2521,Giri Nagar,2400.0,4.0,400.0,4
2522,Giri Nagar,1800.0,3.0,252.0,3
2523,Giri Nagar,1350.0,3.0,240.0,3
2524,Giri Nagar,2400.0,4.0,400.0,4
2525,Giri Nagar,3000.0,4.0,375.0,6
2526,Giri Nagar,2400.0,6.0,400.0,6
2527,Giri Nagar,1120.0,4.0,175.0,4
2528,Giri Nagar,4000.0,3.0,750.0,4
2529,Giri Nagar,1200.0,3.0,175.0,6
2530,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2531,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2532,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2533,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2534,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2535,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2536,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2537,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2538,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2539,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2540,Gottigere,1100.0,2.0,40.0,2
2541,Gottigere,967.0,2.0,45.0,2
2542,Gottigere,1618.0,3.0,82.5,3
2543,Gottigere,1222.0,2.0,63.0,2
2545,Gottigere,1300.0,3.0,65.0,3
2546,Gottigere,950.0,2.0,38.0,2
2547,Gottigere,1153.0,2.0,48.5,2
2548,Gottigere,812.0,1.0,26.0,1
2550,Gottigere,1460.0,2.0,65.0,3
2551,Gottigere,1500.0,3.0,70.0,3
2552,Gottigere,1621.0,3.0,72.0,3
2553,Gottigere,812.0,1.0,26.0,1
2554,Gottigere,990.0,2.0,40.0,2
2555,Gottigere,1235.0,2.0,63.0,2
2556,Gottigere,1385.0,3.0,64.0,3
2557,Gottigere,1000.0,2.0,35.0,2
2558,Gottigere,1010.0,2.0,35.0,2
2561,Gottigere,1435.0,2.0,62.0,3
2562,Gottigere,945.0,2.0,45.0,2
2564,Gottigere,2500.0,3.0,120.0,4
2565,Gottigere,1230.0,2.0,52.0,3
2566,Gottigere,1120.0,2.0,50.0,2
2567,Gottigere,1500.0,3.0,63.0,3
2568,Gottigere,1200.0,2.0,40.0,2
2569,Gottigere,1280.0,2.0,61.0,2
2570,Gottigere,1205.0,2.0,56.58,2
2571,Gottigere,1170.0,2.0,40.0,2
2572,Gottigere,3000.0,3.0,132.0,4
2573,Gottigere,1613.0,3.0,72.0,3
2574,Gottigere,1110.0,2.0,36.25,2
2575,Gottigere,1245.0,2.0,59.0,2
2576,Gottigere,1200.0,2.0,50.0,2
2577,Green Glen Layout,1670.0,3.0,120.0,3
2578,Green Glen Layout,3250.0,4.0,230.0,4
2579,Green Glen Layout,1776.42,3.0,105.0,3
2580,Green Glen Layout,3250.0,4.0,230.0,4
2581,Green Glen Layout,940.0,2.0,56.8,2
2582,Green Glen Layout,1075.0,2.0,60.0,2
2583,Green Glen Layout,1715.0,3.0,115.0,3
2584,Green Glen Layout,1751.0,2.0,115.0,3
2585,Green Glen Layout,1750.0,3.0,130.0,3
2586,Green Glen Layout,1530.0,3.0,105.0,3
2587,Green Glen Layout,1752.0,3.0,105.0,3
2588,Green Glen Layout,1680.0,4.0,95.0,3
2589,Green Glen Layout,1728.0,3.0,125.0,3
2590,Green Glen Layout,1645.0,3.0,110.0,3
2591,Green Glen Layout,1517.0,3.0,100.0,3
2592,Green Glen Layout,3150.0,4.0,218.0,4
2594,Green Glen Layout,1750.0,3.0,120.0,3
2595,Green Glen Layout,1751.0,3.0,115.0,3
2596,Green Glen Layout,1750.0,3.0,105.0,3
2597,Green Glen Layout,1885.0,3.0,135.0,3
2598,Green Glen Layout,1715.0,3.0,120.0,3
2599,Green Glen Layout,1623.29,2.0,105.0,3
2600,Green Glen Layout,1715.0,3.0,115.0,3
2601,Green Glen Layout,1715.0,3.0,105.0,3
2602,Green Glen Layout,1600.0,3.0,105.0,3
2603,Green Glen Layout,1717.0,3.0,125.0,3
2604,Green Glen Layout,1250.0,2.0,75.0,2
2605,Green Glen Layout,1715.0,3.0,112.0,3
2606,Gubbalala,1470.0,2.0,82.0,3
2607,Gubbalala,1745.0,3.0,125.0,3
2608,Gubbalala,1745.0,3.0,104.0,3
2609,Gubbalala,1745.0,3.0,115.0,3
2610,Gubbalala,1745.0,3.0,110.0,3
2611,Gubbalala,1650.0,3.0,71.0,3
2612,Gubbalala,2570.0,4.0,141.0,5
2613,Gubbalala,1205.0,2.0,70.0,2
2614,Gubbalala,1435.0,2.0,80.0,3
2615,Gubbalala,1475.0,2.0,80.0,2
2617,Gubbalala,1100.0,2.0,49.5,2
2618,Gubbalala,1060.0,2.0,46.0,2
2619,Gubbalala,2000.0,3.0,125.0,3
2621,Gubbalala,1745.0,3.0,130.0,3
2622,Gubbalala,1285.0,2.0,90.0,2
2623,Gunjur,1140.0,2.0,43.0,2
2624,Gunjur,1356.0,2.0,66.0,3
2625,Gunjur,1600.0,3.0,75.0,3
2626,Gunjur,2000.0,3.0,95.0,4
2627,Gunjur,1140.0,2.0,49.11,2
2628,Gunjur,1195.0,2.0,44.0,2
2629,Gunjur,1190.0,2.0,40.0,2
2630,Gunjur,1457.0,2.0,60.0,2
2631,Gunjur,1080.0,2.0,41.0,2
2634,Gunjur,1175.0,2.0,43.48,2
2635,Gunjur,1362.0,3.0,62.63,3
2636,Gunjur,1071.0,2.0,51.0,2
2637,Gunjur,1063.0,2.0,40.0,2
2638,Gunjur,1235.0,2.0,52.76,2
2639,Gunjur,1362.0,3.0,62.63,3
2640,Gunjur,1362.0,3.0,62.63,3
2641,Gunjur,1588.0,2.0,90.0,3
2642,Gunjur,1235.0,2.0,44.5,2
2643,Gunjur,1457.0,2.0,60.0,2
2644,HAL 2nd Stage,1490.0,2.0,300.0,3
2645,HAL 2nd Stage,600.0,3.0,145.0,2
2646,HAL 2nd Stage,2700.0,3.0,500.0,3
2647,HAL 2nd Stage,2040.0,4.0,500.0,5
2648,HBR Layout,2800.0,2.0,200.0,3
2649,HBR Layout,1722.0,3.0,95.0,3
2650,HBR Layout,1200.0,4.0,120.0,4
2651,HBR Layout,1200.0,2.0,60.0,2
2652,HBR Layout,1004.0,2.0,49.0,2
2653,HBR Layout,1783.0,3.0,125.0,3
2654,HBR Layout,1656.0,3.0,90.0,3
2655,HBR Layout,1089.0,2.0,60.0,2
2656,HBR Layout,2400.0,5.0,320.0,4
2657,HBR Layout,1700.0,3.0,110.0,3
2658,HBR Layout,1198.0,2.0,65.0,2
2659,HBR Layout,1200.0,4.0,115.0,4
2660,HBR Layout,1800.0,2.0,230.0,3
2661,HBR Layout,1200.0,2.0,120.0,2
2662,HBR Layout,1832.0,3.0,160.0,3
2663,HRBR Layout,1374.0,2.0,95.0,2
2664,HRBR Layout,1440.0,2.0,98.0,2
2666,HRBR Layout,2800.0,3.0,250.0,3
2667,HRBR Layout,1210.0,2.0,75.0,2
2668,HRBR Layout,1200.0,2.0,170.0,4
2669,HRBR Layout,1265.0,2.0,78.0,2
2670,HRBR Layout,1170.0,2.0,75.0,2
2672,HRBR Layout,1900.0,3.0,90.0,4
2673,HRBR Layout,1625.0,3.0,120.0,3
2674,HRBR Layout,1301.0,2.0,120.0,2
2675,HRBR Layout,1145.0,2.0,68.5,2
2676,HRBR Layout,1300.0,2.0,90.0,2
2678,HSR Layout,1372.0,2.0,68.0,2
2680,HSR Layout,1475.0,3.0,75.0,3
2681,HSR Layout,1467.0,2.0,55.0,2
2682,HSR Layout,1140.0,2.0,46.0,2
2683,HSR Layout,1372.0,2.0,61.0,2
2684,HSR Layout,1750.0,3.0,95.0,3
2686,HSR Layout,1027.0,2.0,44.0,2
2687,HSR Layout,1650.0,3.0,110.0,3
2688,HSR Layout,1140.0,2.0,46.0,2
2689,HSR Layout,1372.0,2.0,61.0,2
2690,HSR Layout,1140.0,2.0,46.0,2
2691,HSR Layout,1185.0,2.0,60.0,2
2692,HSR Layout,1127.0,2.0,68.0,2
2693,HSR Layout,1600.0,2.0,115.0,3
2694,HSR Layout,1145.0,2.0,48.0,2
2695,HSR Layout,1009.0,2.0,56.0,2
2696,HSR Layout,1300.0,2.0,98.0,2
2698,HSR Layout,1140.0,2.0,46.0,2
2699,HSR Layout,1126.0,2.0,69.0,2
2701,HSR Layout,1140.0,2.0,46.0,2
2702,HSR Layout,1145.0,2.0,46.0,2
2703,HSR Layout,1142.0,2.0,65.0,2
2704,HSR Layout,1145.0,2.0,46.0,2
2705,HSR Layout,1844.0,3.0,95.0,3
2706,HSR Layout,1203.0,2.0,72.0,2
2707,HSR Layout,1140.0,2.0,46.0,2
2708,HSR Layout,4200.0,5.0,245.0,5
2709,HSR Layout,1140.0,2.0,46.0,2
2710,HSR Layout,1145.0,2.0,46.0,2
2711,HSR Layout,1009.0,2.0,56.0,2
2712,HSR Layout,1145.0,2.0,46.0,2
2713,HSR Layout,1100.0,2.0,44.0,2
2714,HSR Layout,1203.0,2.0,60.0,2
2715,HSR Layout,1120.0,2.0,70.0,2
2716,HSR Layout,1140.0,2.0,46.0,2
2717,HSR Layout,1289.0,2.0,70.0,2
2718,HSR Layout,1844.0,3.0,89.0,3
2719,HSR Layout,1203.0,2.0,60.0,2
2720,HSR Layout,1140.0,2.0,46.0,2
2721,Haralur Road,1240.0,2.0,70.0,2
2722,Haralur Road,1027.0,2.0,44.0,2
2724,Haralur Road,2650.0,4.0,198.0,4
2726,Haralur Road,1194.0,2.0,47.0,2
2727,Haralur Road,3385.0,5.0,260.0,4
2728,Haralur Road,1202.0,2.0,53.0,2
2729,Haralur Road,1056.0,2.0,61.0,2
2731,Haralur Road,1810.0,3.0,100.0,3
2732,Haralur Road,1194.0,2.0,46.0,2
2734,Haralur Road,1225.0,2.0,67.38,2
2735,Haralur Road,1243.0,2.0,46.0,2
2736,Haralur Road,1027.0,2.0,44.0,2
2737,Haralur Road,1920.0,3.0,115.0,3
2738,Haralur Road,1875.0,3.0,110.0,3
2739,Haralur Road,1194.0,2.0,47.0,2
2740,Haralur Road,1140.0,2.0,43.0,2
2741,Haralur Road,1027.0,2.0,44.0,2
2742,Haralur Road,1194.0,2.0,46.0,2
2743,Haralur Road,2017.0,3.0,125.0,3
2744,Haralur Road,1140.0,2.0,43.0,2
2745,Haralur Road,1875.0,3.0,110.0,3
2746,Haralur Road,1092.0,2.0,44.0,2
2747,Haralur Road,2475.0,4.0,130.0,3
2748,Haralur Road,1300.0,2.0,73.0,2
2749,Haralur Road,1194.0,2.0,47.0,2
2750,Haralur Road,1243.0,2.0,46.0,2
2751,Haralur Road,1850.0,3.0,110.0,3
2752,Haralur Road,1225.0,2.0,67.38,2
2753,Haralur Road,1243.0,2.0,46.0,2
2754,Haralur Road,3400.0,5.0,240.0,4
2755,Haralur Road,1464.0,2.0,56.0,2
2756,Haralur Road,1230.0,2.0,78.0,2
2757,Haralur Road,1000.0,2.0,44.0,2
2759,Haralur Road,1300.0,2.0,79.0,2
2760,Haralur Road,1444.0,2.0,80.0,3
2761,Haralur Road,1088.0,2.0,68.0,2
2762,Haralur Road,1027.0,2.0,44.0,2
2764,Haralur Road,1225.0,2.0,70.0,2
2766,Haralur Road,1194.0,2.0,46.0,2
2767,Haralur Road,1000.0,2.0,78.0,2
2768,Haralur Road,1830.0,3.0,101.0,3
2769,Haralur Road,1810.0,3.0,126.0,3
2770,Haralur Road,1464.0,2.0,56.0,2
2771,Haralur Road,1520.0,2.0,96.0,3
2772,Haralur Road,1300.0,2.0,75.0,2
2773,Haralur Road,2017.0,2.0,125.0,3
2774,Haralur Road,1243.0,2.0,46.0,2
2775,Haralur Road,1027.0,2.0,44.0,2
2776,Haralur Road,2805.0,5.0,160.0,4
2777,Haralur Road,1243.0,2.0,46.0,2
2778,Haralur Road,1027.0,2.0,44.0,2
2779,Haralur Road,2017.0,3.0,105.0,3
2780,Haralur Road,1243.0,2.0,46.0,2
2781,Haralur Road,1243.0,2.0,46.0,2
2782,Haralur Road,1520.0,2.0,90.0,3
2783,Haralur Road,1300.0,2.0,60.0,2
2784,Haralur Road,1985.0,3.0,130.0,3
2785,Haralur Road,1255.0,2.0,90.0,3
2786,Haralur Road,1056.0,2.0,60.0,2
2787,Haralur Road,1140.0,2.0,42.0,2
2788,Haralur Road,1245.0,2.0,62.0,2
2789,Haralur Road,1140.0,2.0,58.0,2
2790,Haralur Road,1140.0,2.0,42.0,2
2791,Haralur Road,1027.0,2.0,43.0,2
2792,Haralur Road,1194.0,2.0,47.0,2
2793,Haralur Road,1194.0,2.0,47.0,2
2794,Haralur Road,1560.0,3.0,90.0,3
2795,Haralur Road,1520.0,2.0,85.0,3
2796,Haralur Road,1243.0,2.0,45.0,2
2797,Haralur Road,1027.0,2.0,44.0,2
2798,Haralur Road,1194.0,2.0,46.0,2
2799,Haralur Road,1650.0,3.0,100.0,3
2800,Haralur Road,1580.0,3.0,73.0,3
2801,Haralur Road,1243.0,2.0,46.0,2
2802,Haralur Road,1194.0,2.0,47.0,2
2804,Haralur Road,1520.0,2.0,96.0,3
2805,Haralur Road,1510.0,3.0,83.05,3
2806,Haralur Road,1056.0,2.0,65.0,2
2807,Haralur Road,1810.0,3.0,100.0,3
2808,Haralur Road,1243.0,2.0,46.0,2
2809,Haralur Road,575.0,1.0,38.0,1
2810,Haralur Road,1194.0,2.0,46.0,2
2811,Haralur Road,1243.0,2.0,46.0,2
2812,Haralur Road,1194.0,2.0,46.0,2
2813,Haralur Road,1140.0,2.0,43.0,2
2814,Haralur Road,1850.0,3.0,120.0,3
2815,Haralur Road,1194.0,2.0,47.0,2
2816,Haralur Road,1194.0,2.0,47.0,2
2818,Haralur Road,1243.0,2.0,46.0,2
2819,Haralur Road,1710.0,3.0,85.0,3
2820,Haralur Road,1730.0,3.0,95.0,3
2821,Haralur Road,1243.0,2.0,46.0,2
2822,Haralur Road,1243.0,2.0,46.0,2
2823,Haralur Road,1243.0,2.0,46.0,2
2824,Haralur Road,1817.0,3.0,110.0,3
2825,Haralur Road,1225.0,2.0,77.0,2
2826,Haralur Road,1285.0,2.0,78.0,2
2827,Haralur Road,1225.0,2.0,67.48,2
2828,Haralur Road,1225.0,2.0,69.84,2
2829,Haralur Road,1200.0,2.0,46.0,2
2830,Haralur Road,1315.0,2.0,85.0,2
2831,Haralur Road,1976.0,3.0,92.0,3
2832,Haralur Road,1300.0,2.0,75.0,2
2833,Haralur Road,1309.0,2.0,82.0,2
2834,Haralur Road,1027.0,1.0,44.0,2
2835,Haralur Road,1243.0,2.0,46.0,2
2836,Haralur Road,1243.0,2.0,46.0,2
2837,Haralur Road,1140.0,2.0,43.0,2
2838,Haralur Road,1300.0,2.0,75.0,2
2839,Haralur Road,1243.0,2.0,46.0,2
2841,Haralur Road,1230.0,2.0,67.65,2
2842,Haralur Road,1194.0,2.0,46.0,2
2843,Haralur Road,1092.0,2.0,44.0,2
2845,Haralur Road,1255.0,3.0,90.0,3
2846,Haralur Road,1735.0,3.0,97.0,3
2847,Haralur Road,1810.0,3.0,97.83,3
2848,Haralur Road,1200.0,2.0,46.0,2
2849,Haralur Road,1243.0,2.0,46.0,2
2850,Haralur Road,1810.0,3.0,112.0,3
2851,Harlur,1508.0,2.0,77.0,2
2852,Harlur,1752.12,3.0,135.0,3
2855,Harlur,1709.0,3.0,150.0,3
2856,Harlur,1174.0,2.0,69.0,2
2857,Harlur,1033.0,2.0,49.0,2
2858,Harlur,1197.0,2.0,84.0,2
2859,Harlur,1757.0,3.0,132.0,3
2860,Harlur,1174.0,2.0,76.0,2
2861,Harlur,1754.0,3.0,125.0,3
2862,Harlur,1290.0,2.0,85.0,2
2863,Harlur,1752.12,3.0,116.0,3
2864,Harlur,1754.0,3.0,135.0,3
2865,Harlur,1754.0,3.0,124.0,3
2866,Harlur,1152.0,2.0,69.0,2
2867,Harlur,1290.0,2.0,87.0,2
2868,Harlur,1749.0,3.0,115.0,3
2869,Harlur,3385.0,4.0,260.0,4
2870,Harlur,2240.0,5.0,155.0,3
2871,Harlur,1758.0,3.0,133.0,3
2873,Harlur,1197.0,2.0,79.0,2
2874,Harlur,1174.0,2.0,78.0,2
2877,Harlur,1200.0,2.0,52.0,2
2878,Harlur,1197.0,2.0,79.0,2
2879,Harlur,1749.0,3.0,112.0,3
2880,Harlur,1174.0,2.0,75.0,2
2881,Harlur,1750.0,3.0,136.0,3
2882,Harlur,1620.0,3.0,110.0,3
2885,Harlur,1762.0,3.0,133.0,3
2886,Harlur,1756.0,3.0,131.0,3
2887,Harlur,1755.0,3.0,130.0,3
2888,Harlur,1864.0,3.0,140.0,3
2889,Harlur,1331.0,2.0,88.0,2
2890,Harlur,1752.12,3.0,133.0,3
2891,Harlur,1133.0,2.0,55.0,2
2892,Harlur,1756.0,3.0,128.0,3
2893,Harlur,1749.0,3.0,120.0,3
2894,Harlur,1197.0,2.0,82.0,2
2895,Harlur,1303.0,2.0,90.0,2
2896,Harlur,1754.0,3.0,132.0,3
2897,Harlur,1174.0,2.0,75.0,2
2898,Harlur,1756.0,3.0,134.0,3
2899,Harlur,1197.0,2.0,78.0,2
2900,Harlur,1290.0,2.0,89.9,2
2901,Harlur,1386.0,2.0,85.0,2
2902,Harlur,1174.0,2.0,74.0,2
2903,Harlur,1174.0,2.0,78.0,2
2905,Harlur,1755.0,3.0,115.0,3
2907,Harlur,2569.0,4.0,175.0,4
2909,Harlur,1197.0,2.0,77.0,2
2910,Harlur,1752.12,3.0,125.0,3
2911,Harlur,2569.0,5.0,180.0,4
2912,Harlur,1225.0,2.0,56.0,2
2913,Harlur,1197.0,2.0,76.0,2
2915,Harlur,1197.0,2.0,75.0,2
2916,Harlur,1755.0,3.0,117.0,3
2917,Harlur,1197.0,2.0,79.9,2
2918,Harlur,936.0,2.0,45.0,2
2919,Harlur,2990.0,4.0,225.0,4
2920,Harlur,1370.0,2.0,88.0,2
2921,Harlur,1335.0,2.0,72.76,2
2922,Hebbal,1760.0,2.0,123.0,3
2923,Hebbal,5611.5,4.0,477.0,4
2925,Hebbal,1349.0,2.0,98.2,2
2926,Hebbal,2483.0,5.0,212.0,4
2927,Hebbal,1760.0,2.0,130.0,3
2928,Hebbal,3450.0,5.0,260.0,3
2929,Hebbal,1920.0,3.0,134.0,3
2930,Hebbal,1337.0,2.0,82.0,2
2931,Hebbal,1349.0,2.0,98.0,2
2934,Hebbal,1790.0,3.0,127.0,3
2935,Hebbal,687.325,2.0,42.72,2
2937,Hebbal,1985.0,4.0,189.0,3
2938,Hebbal,2483.0,5.0,215.0,4
2939,Hebbal,1080.0,2.0,54.0,2
2940,Hebbal,812.0,2.0,55.0,2
2942,Hebbal,3067.0,4.0,230.0,4
2943,Hebbal,2526.0,2.0,250.0,3
2944,Hebbal,3067.0,4.0,230.0,4
2946,Hebbal,823.0,2.0,50.63,2
2947,Hebbal,1420.0,2.0,123.0,2
2949,Hebbal,1420.0,2.0,99.39,2
2950,Hebbal,4235.0,4.0,365.0,4
2951,Hebbal,1700.0,3.0,124.0,3
2952,Hebbal,3960.0,5.0,386.0,4
2953,Hebbal,1420.0,2.0,99.39,2
2955,Hebbal,1440.0,2.0,115.0,2
2956,Hebbal,1100.0,2.0,54.0,2
2958,Hebbal,2400.0,4.0,180.0,3
2960,Hebbal,1420.0,2.0,107.0,2
